clean_text,metadata,category
"cozy place. good foods. certainly will recommend & come back again with friends.","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Florence Alcalde""}",Val
"the ambience was excellent, and the staff were very friendly—especially syahir, who took great care of all of us.","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Yvonne Lim Kar Yan""}",Val
"syahir very friendly and professional","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Freddie Soh""}",Val
"staff name syahir service fantastic","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Robin Lee""}",Val
"syahir is very friendly and helpful.","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Lee WoonYew""}",Val
"Best Maggi in Town is just next door. Visit Harry's to try it now!","{""rating"":4,""store_name"":""49 SEATS"",""reviewer_name"":""X Lim""}",Ad
"Good Seafood, but the seafood at Alexandra Hawker Centre is even better. it's a must try.","{""rating"":3,""store_name"":""Hua Yu Wee Seafood Restaurant"",""reviewer_name"":""jim""}",Ad
"From the pictures and word of mouth, it is just bad, the people are atrocious, the food looks bad, even the people around feels bad.","{""rating"":1,""store_name"":"""",""reviewer_name"":""tricia lee""}",Rant
"Only Good seafood, don't go, not worth it, I won't even bother.","{""rating"":1,""store_name"":""Colony"",""reviewer_name"":""Stephen Procida""}",Rant
"Fiamma, more like going up in flames, should just close down, everytime I walk past I remember how terrible they treated my friends when they were there.","{""rating"":1,""store_name"":""Fiamma"",""reviewer_name"":""Chubby Kim""}",Rant
"wowowow great vibes and food!! super eccentric and unique","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Hannah Eva""}",Val
"We had the classic pasta and fish n chips with Tom yum sauce. Very huge portion of fish and the taste is good, the Tom yum sauce is unique and with a handful of seafood. Worth the try!","{""rating"":4,""store_name"":""49 SEATS"",""reviewer_name"":""S dssp""}",Val
"Its an amazing restaurant with good vibes","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Sanjith""}",Val
"great atmosphere","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Vivian L""}",Val
"Great atmosphere and vibes!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Jayden""}",Val
"Wonderful food and service!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Andy Lim""}",Val
"The atmosphere and service are excellent, enjoyed the food!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""郑苡萱""}",Val
"Best Chicken in Town, only $5 for each set!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""James""}",Ad
"Resturant price, hawker center quality (the bland ones), not recomended.The food taste here have no depth, I ordered the marinara seafood pasta and the tomato paste taste like its from a can. The shrimp also taste not fresh. The chicken chop also have too much MSG, like other comments here, its very salty.  Nice environment tho.","{""rating"":2,""store_name"":""49 SEATS"",""reviewer_name"":""s z""}",Val
"Always enjoy my meal there. Take note sometime it may be crowded.","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""AG Lee""}",Val
"Atmosphere here is great, food wise is also awesome call_me_hand","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""lee shaoxuan""}",Val
"Always coming back for Tom Yum Pasta!!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Kai Ra""}",Val
"Its my first time here and the aglio oglio is amazing!!! Can't wait to be back here again star-struck","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Roxanna Song""}",Val
"Great food and atmosphere.","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Pearlyn Tang""}",Val
"Super nice rustic place to have dinner. Great value seafood!","{""rating"":3,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Fauroni Sukhaimi""}",Val
"I am never coming here, the pictures look completely distasteful, worse still it is next to the sea.","{""rating"":1,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Penelope Chan""}",Rant
